City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descriptions
266,Ganzhou,CN,28.8184,115.4327,49.3,90,70,3.65,broken clouds
267,Ambilobe,MG,-13.2,49.05,76.59,93,28,1.5,light rain
268,Bordighera,IT,43.7806,7.6645,59.56,25,0,4.5,clear sky
269,Zhigansk,RU,66.7697,123.3711,9.37,96,100,7.76,light snow
270,Flinders,AU,-34.5833,150.8552,67.17,82,100,1.99,overcast clouds
271,Prabumulih,ID,-3.45,104.25,74.89,87,59,1.36,heavy intensity rain
272,Alihe,CN,50.5667,123.7167,21.9,98,92,0.2,overcast clouds
273,Thinadhoo,MV,0.5333,72.9333,83.8,66,5,13.76,clear sky
274,Muhororo,UG,0.9381,30.7594,68.11,68,63,1.88,broken clouds
275,Nara,JP,34.6851,135.8049,45.72,83,96,3.13,overcast clouds
276,Oda,JP,35.1833,132.5,42.55,84,25,6.76,scattered clouds
277,Diadema,BR,-23.6861,-46.6228,85.1,55,75,6.91,broken clouds
278,Vostok,RU,46.4856,135.8833,13.84,95,43,4.47,scattered clouds
279,Poronaysk,RU,49.2167,143.1167,9.73,90,37,3.22,scattered clouds
280,Zilupe,LV,56.3862,28.1217,32.94,90,21,5.48,light snow
281,Sayyan,YE,15.1718,44.3244,64.44,50,87,1.39,overcast clouds
282,Bantogon,PH,6.5333,124.0333,77.92,84,99,1.59,overcast clouds
283,Touros,BR,-5.1989,-35.4608,86.02,65,68,14.29,broken clouds
284,Fortuna,US,40.5982,-124.1573,52.93,92,75,8.05,broken clouds
285,Leh,IN,34.1667,77.5833,20.75,67,36,2.15,scattered clouds
286,Healesville,AU,-37.65,145.5167,60.22,93,80,2.39,broken clouds
287,Nouadhibou,MR,20.931,-17.0347,69.78,64,0,20.71,sand
288,Enid,US,36.3956,-97.8784,49.98,45,75,24.16,broken clouds
289,Ambon,ID,-3.6954,128.1814,75.34,94,40,4.61,scattered clouds
290,Acapulco,MX,16.8634,-99.8901,84.09,51,5,8.55,clear sky
291,Isangel,VU,-19.55,169.2667,77.7,89,100,6.67,overcast clouds
292,Padang,ID,-0.9492,100.3543,76.42,80,13,4.05,few clouds
293,Poya,NC,-21.35,165.15,75.63,87,100,5.55,overcast clouds
294,Margate,GB,51.3813,1.3862,55.69,71,0,1.99,clear sky
295,Ust-Tsilma,RU,65.441,52.1498,18.63,86,76,8.59,broken clouds
296,Bathsheba,BB,13.2167,-59.5167,83.01,61,75,21.85,broken clouds
297,Marzuq,YE,14.4,46.4667,72.34,56,33,6.58,scattered clouds
298,Baruun-Urt,MN,46.6806,113.2792,25.79,30,66,7.85,broken clouds
299,Hamilton,US,39.1834,-84.5333,69.76,76,86,7.0,overcast clouds
300,Dingle,PH,10.9995,122.6711,76.73,79,55,6.02,broken clouds
301,Tanda,IN,26.55,82.65,75.36,11,1,8.21,clear sky
302,Warnes,BO,-17.5,-63.1667,87.08,70,40,17.27,scattered clouds
303,Zlitan,LY,32.4674,14.5687,56.5,63,10,11.48,clear sky
304,Hansot,IN,21.5833,72.8,85.98,27,17,13.15,few clouds
305,Hofn,IS,64.2539,-15.2082,37.42,81,75,11.5,broken clouds
306,Limoges,FR,45.75,1.3333,59.56,23,0,6.91,clear sky
307,Bilma,NE,18.6853,12.9164,79.21,12,7,8.61,clear sky
308,Aljezur,PT,37.3191,-8.8033,53.13,94,100,7.52,overcast clouds
309,Maniitsoq,GL,65.4167,-52.9,9.79,82,6,9.37,clear sky
310,Weihe,CN,32.9952,105.3247,46.29,98,100,4.5,overcast clouds
311,Cayenne,GF,4.9333,-52.3333,84.24,1,75,14.97,broken clouds
312,Diffa,NE,13.3154,12.6113,84.61,13,100,8.34,overcast clouds
313,Iralaya,HN,15.0,-83.2333,82.9,60,86,13.49,overcast clouds
314,Pangoa,PE,-12.1167,-73.0,87.37,50,81,4.88,light rain
315,Rosarito,MX,32.3333,-117.0333,85.24,26,0,11.1,clear sky
316,Soligalich,RU,59.0778,42.2864,28.24,98,95,4.07,overcast clouds
317,Yokadouma,CM,3.5167,15.05,83.62,38,82,1.36,broken clouds
318,Beruwala,LK,6.4788,79.9828,80.44,79,100,4.25,overcast clouds
319,Deputatskiy,RU,69.3,139.9,-5.84,98,100,2.59,overcast clouds
320,Rognan,NO,67.0953,15.3878,44.89,92,100,9.51,moderate rain
321,Sapa,PH,5.1544,120.3241,79.77,81,94,0.74,overcast clouds
322,Kloulklubed,PW,7.0419,134.2556,81.77,76,95,10.49,overcast clouds
323,Coquimbo,CL,-29.9533,-71.3436,64.13,72,75,9.22,broken clouds
324,Nevel,RU,56.0209,29.9284,31.14,96,2,2.37,clear sky
325,Bambanglipuro,ID,-7.95,110.2833,77.0,89,99,1.21,overcast clouds
