City_ID,City,Country,Max Temp,Current Descriptions,Lat,Lng,Hotel Name
118,Diadema,BR,85.1,broken clouds,-23.6861,-46.6228,Green Village Hotel
119,Sayyan,YE,64.44,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
120,Bantogon,PH,77.92,overcast clouds,6.5333,124.0333,Kalamansig Greenhome
121,Touros,BR,86.02,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
122,Healesville,AU,60.22,broken clouds,-37.65,145.5167,Tuck Inn Yarra Valley Accommodation Healesville
123,Nouadhibou,MR,69.78,sand,20.931,-17.0347,El Medina
124,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
125,Acapulco,MX,84.09,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
126,Isangel,VU,77.7,overcast clouds,-19.55,169.2667,Tanna Lodge
127,Padang,ID,76.42,few clouds,-0.9492,100.3543,Mercure Padang
128,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
129,Hamilton,US,69.76,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
130,Dingle,PH,76.73,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
131,Tanda,IN,75.36,clear sky,26.55,82.65,MUMTAZ GANJ TANDA
132,Warnes,BO,87.08,scattered clouds,-17.5,-63.1667,Tokame Motel
133,Hansot,IN,85.98,few clouds,21.5833,72.8,Iram woden mart
134,Bilma,NE,79.21,clear sky,18.6853,12.9164,Expeditions Ténére voyages
135,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
136,Diffa,NE,84.61,overcast clouds,13.3154,12.6113,ProDAF/Diffa
137,Iralaya,HN,82.9,overcast clouds,15.0,-83.2333,Iglesia morava renovada
138,Rosarito,MX,85.24,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
139,Yokadouma,CM,83.62,broken clouds,3.5167,15.05,Hôtel De Ville De Yokadouma
140,Beruwala,LK,80.44,overcast clouds,6.4788,79.9828,The Palms Hotel
141,Kloulklubed,PW,81.77,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
142,Coquimbo,CL,64.13,broken clouds,-29.9533,-71.3436,Hotel San Juan
143,Bambanglipuro,ID,77.0,overcast clouds,-7.95,110.2833,Puri Brata
144,Turbat,PK,79.63,clear sky,26.0023,63.044,Mubashar Quarters
145,Kerema,PG,76.8,moderate rain,-7.9631,145.7785,Frena Lodge
146,Cabedelo,BR,88.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
147,Conde,BR,87.26,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
148,Jacqueville,CI,81.36,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
149,Talara,PE,86.76,clear sky,-4.5772,-81.2719,Hostal Oro Negro
150,Buala,SB,78.89,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
151,Mahibadhoo,MV,82.72,clear sky,3.7833,72.9667,Omadhoo Inn
152,Gushikawa,JP,65.43,overcast clouds,26.3544,127.8686,Kirari Guest House
153,Srandakan,ID,76.8,overcast clouds,-7.9386,110.2506,Puri Brata
154,Chimbote,PE,75.42,scattered clouds,-9.0853,-78.5783,Hotel Briliá
155,Vao,NC,76.89,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
156,Tauberbischofsheim,DE,60.51,clear sky,49.6247,9.6628,Hotel Adlerhof
157,Kavaratti,IN,83.14,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
158,Morondava,MG,81.64,clear sky,-20.2833,44.2833,La Case Bambou
159,Buraydah,SA,81.05,scattered clouds,26.326,43.975,Mövenpick Qassim
160,Kaeo,NZ,63.32,scattered clouds,-35.1,173.7833,Bushido Lodge
161,Tabuk,PH,73.83,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
162,Sarangani,PH,81.91,overcast clouds,5.4033,125.4636,Ballistic Islet
163,Aswan,EG,65.5,clear sky,24.0934,32.907,Nuba Nile
164,Mangaluru,IN,76.06,light intensity drizzle,12.8667,74.8833,Goldfinch Hotel Mangaluru
165,Awbari,LY,60.48,clear sky,26.5921,12.7805,فندق أوباري
166,Acari,PE,81.81,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
167,Basoko,CD,73.83,scattered clouds,1.2391,23.616,Jackyna Hotel
168,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
169,Bairiki,KI,80.6,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
170,Manokwari,ID,78.51,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
171,Copiapo,CL,64.09,clear sky,-27.3667,-70.3333,Antay Casino Hotel
172,Lata,PT,61.07,overcast clouds,40.1629,-8.3327,Casa Maquia
173,Yeppoon,AU,65.98,clear sky,-23.1333,150.7333,Villa Mar Colina
174,Maun,BW,74.01,broken clouds,-19.9833,23.4167,Enviro Villa
175,Oussouye,SN,89.78,clear sky,12.485,-16.5469,Auberge du Routard
176,Kankon,IN,82.2,broken clouds,15.0167,74.0167,Palolem Beach Resort
177,Lucapa,AO,66.88,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
178,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
179,Monrovia,LR,82.76,overcast clouds,6.3005,-10.7969,Sunset Inn
180,Buarcos,PT,61.14,light rain,40.166,-8.8768,Hotel Sweet Atlantic SPA
181,Necochea,AR,80.78,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
182,Laborie,LC,83.86,few clouds,13.75,-60.9833,Cedar Palm Villa
183,Natal,BR,89.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
184,Kahului,US,71.96,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
185,Kawambwa,ZM,64.67,moderate rain,-9.7915,29.0791,Chembe Nsofu
186,Iturama,BR,86.52,scattered clouds,-19.7281,-50.1956,República DominaCana
187,Payakumbuh,ID,68.77,clear sky,-0.2202,100.6308,Dalimo Homestay
188,Mecca,SA,72.82,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
189,Kailua,US,75.74,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
190,Valente,BR,83.5,overcast clouds,-11.4122,-39.4619,Bel Pousada E Restaurante
